Report generated on: 07-31-2025 16:15:05
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"INTL.53-1-AFG-TBPD.A","        Total petroleum and other liquids (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-AFG-TBPD.A","            Crude oil, NGPL, and other liquids (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-AFG-TBPD.A","                Crude oil including lease condensate (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.58-1-AFG-TBPD.A","                NGPL (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.59-1-AFG-TBPD.A","                Other liquids (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.56-1-AFG-TBPD.A","            Refinery processing gain (Mb/d)","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Albania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-ALB-TBPD.A","        Total petroleum and other liquids (Mb/d)","","","","","","","","44","44","64","75","55","55","55","54","44","47","30","19","10","11","10","9","9","7.150391780821918","7.489890410958904","6.4602301369863016","5.716","5.624","7.106","6","7.006","6.985","9.072","10.082","10.03453","10.05364","13.02293","16.04745","18.008905","21.006202","24.06236","23.0535","19.05189","17.05404","16.05469","18.05546","17.313858961748632","16.15063810365884","15.059928131885036","14.044726754799408","13.069111934046449"
"INTL.55-1-ALB-TBPD.A","            Crude oil, NGPL, and other liquids (Mb/d)","","","","","","","","44","44","64","75","55","55","55","54","44","47","30","19","11","11","10","9","9","7.150391780821918","7.489890410958904","6.4602301369863016","5.716","5.624","7.106","6","7","7","9","10","10","10","13","16","18","21","24","23","19","17","16","18","17.261428961748635","16.09329589041096","15.003383561643835","13.986780821917808","13.040459016393443"
"INTL.57-1-ALB-TBPD.A","                Crude oil including lease condensate (Mb/d)","","","","","","","","","","","","54","50","45","40","30","30","20","16.487671232876714","12","11","10","9","9","7.150391780821918","7.489890410958904","6.4602301369863016","5.716","5.624","7.106","6","7","7","9","10","10","10","13","16","18","21","24","23","19","17","16","18","17.261428961748635","16.09329589041096","15.003383561643835","13.986780821917808","13.040459016393443"
"INTL.58-1-ALB-TBPD.A","                NGPL (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.59-1-ALB-TBPD.A","                Other liquids (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.56-1-ALB-TBPD.A","            Refinery processing gain (Mb/d)","","","","","","","","","","","","","","","","","","","","","-0.1","","-0.1","0.1","0.1","0.1","","0.004099306","0.04203869","-0.038660606","0.00513820361095892","0.006","-0.015","0.072","0.082","0.03453000000000001","0.05364","0.02293","0.04745","0.008905","0.006202","0.06236000000000001","0.0535","0.05189","0.05404","0.05469","0.05546","0.05243","0.05734221324787886","0.05654457024119965","0.05794593288160011","0.028652917653005466"
"","Algeria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-DZA-TBPD.A","        Total petroleum and other liquids (Mb/d)","1096.9013698630138","1008.8602739726027","982.9972602739726","1075.25956284153","1151.849315068493","1231.0520547945205","1224.1671232876713","1105.9071038251366","1002.0328767123287","986.6301369863014","961.2602739726027","1014.4403249559011","1036.0712328767124","1072","1071.3205479452056","1045","1105.5863013698631","1180.0684931506848","1170","1201.6120218579235","1310.164383561644","1286.2876712328766","1301.3698630136987","1396.7349726775956","1430.1917808219177","1431.041095890411","1376.958904109589","1435.5874316939892","1507.4794520547946","1623.835616438356","1789.890410958904","1856.9347923497269","1930.0273835616438","1917.46801369863","1942.2635205479453","1954.481","1909.8231123287671","1880.8924","1862.5645","1875.039769398907","1762.7893219178081","1721.8256","1798.1049","1698.432255737705","1632.8695246575342","1576.7869342465754","1570.104304109589","1404.306743715847","1415.129339462147","1473.0306811788857","1444.291045526906","1380.7869079622433"
"INTL.55-1-DZA-TBPD.A","            Crude oil, NGPL, and other liquids (Mb/d)","1096.9013698630138","1008.8602739726027","982.9972602739726","1075.25956284153","1151.849315068493","1231.0520547945205","1224.1671232876713","1105.9071038251366","1002.0328767123287","986.6301369863014","961.2602739726027","1014.4403249559011","1036.0712328767124","1072","1071.3205479452056","1045","1105.5863013698631","1180.0684931506848","1170","1201.6120218579235","1310.164383561644","1286.2876712328766","1301.3698630136987","1396.7349726775956","1430.1917808219177","1431.041095890411","1376.958904109589","1435.5874316939892","1507.4794520547946","1623.835616438356","1789.890410958904","1859.1857923497269","1930.5643835616438","1919.0430136986301","1943.1155205479452","1955","1909.876712328767","1880","1862","1874.2431693989072","1761.7808219178082","1720","1797","1697.360655737705","1631.7534246575342","1575.6575342465753","1568.958904109589","1403.224043715847","1413.945205479452","1471.86301369863","1443.0958904109589","1379.6174863387978"
"INTL.57-1-DZA-TBPD.A","                Crude oil including lease condensate (Mb/d)","1096.9013698630138","1008.8602739726027","982.9972602739726","1075.25956284153","1151.849315068493","1231.0520547945205","1224.1671232876713","1105.9071038251366","1002.0328767123287","986.6301369863014","961.2602739726027","647","1036.0712328767124","1072","1071.3205479452056","1045","1105.5863013698631","1180.0684931506848","1170","744.9590163934427","740.1643835616438","746.2876712328767","763.3972602739726","818.3879781420765","849.3424657534247","821.4109589041096","756.9589041095891","805.5874316939891","867.4794520547945","975.5890410958904","1501.890410958904","1579.1857923497269","1649.5643835616438","1656.0430136986301","1668.1155205479452","1705","1584.876712328767","1540","1540","1532.2431693989072","1461.7808219178082","1420","1429","1348.360655737705","1301.7534246575342","1258.6575342465753","1258.958904109589","1122.431693989071","1133.945205479452","1211.86301369863","1183.0958904109589","1119.6174863387978"
"INTL.58-1-DZA-TBPD.A","                NGPL (Mb/d)","","","","","","","","","","","","420","387","469","535","557","553","583","576","571","570","540","537.972602739726","578.3469945355191","580.8493150684932","609.6301369863014","620","630","640","648.2465753424658","288","280","281","263","275","250","325","340","322","342","300","300","368","349","330","317","310","280.7923497267759","280","260","260","260"
"INTL.59-1-DZA-TBPD.A","                Other liquids (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.56-1-DZA-TBPD.A","            Refinery processing gain (Mb/d)","","","","","","","","","","","","","","","","","","","","","-0.6","0.6","","-1.1","-1.5","1","1.3","-0.881816516","-1.107354665","-1.346948592","-1.99807187118904","-2.251","-0.537","-1.575","-0.852","-0.519","-0.0536","0.8924","0.5645","0.7966","1.0085","1.8256","1.1049","1.0716","1.1161","1.1294","1.1454","1.0827","1.1841339826950648","1.167667480255686","1.1951551159471232","1.1694216234453552"
"","American Samoa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-ASM-TBPD.A","        Total petroleum and other liquids (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-ASM-TBPD.A","            Crude oil, NGPL, and other liquids (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-ASM-TBPD.A","                Crude oil including lease condensate (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.58-1-ASM-TBPD.A","                NGPL (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.59-1-ASM-TBPD.A","                Other liquids (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.56-1-ASM-TBPD.A","            Refinery processing gain (Mb/d)","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Angola","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-AGO-TBPD.A","        Total petroleum and other liquids (Mb/d)","162","169","165","108","194","131","147","150","130","122","177.0054794520548","208.02459016393442","231.0000794520548","282.00029863013697","360.00018630136987","452.0081967213115","455.00031780821917","475.0005123287671","500.00022191780823","526.3200464480874","503.9397260273973","491.758904109589","639.3123287671233","691.016393442623","709.786301369863","732.8986301369863","747.8134246575343","745.3879781420765","739.2849315068493","896.6363424657534","879.0602356164384","990.2883306010929","1247.4923616438357","1400.5367863013698","1687.4487698630137","1960.2265081967214","1886.3642191780823","1918.0725479452055","1765.1344383561643","1796.580180327869","1814.1685342465753","1755.9454383561645","1828.00001369863","1796.7777540983607","1708.3545306249114","1637.1164413612435","1488.932374060542","1284.1390298272693","1150.4174036093525","1185.2543993966585","1174.42220270514","1164.0485465117256"
"INTL.55-1-AGO-TBPD.A","            Crude oil, NGPL, and other liquids (Mb/d)","162","169","165","108","194","131","147","150","130","122","177.0054794520548","208.02459016393442","231.0000794520548","282.00029863013697","360.00018630136987","452.0081967213115","455.00031780821917","475.0005123287671","500.00022191780823","526.3200464480874","503.9397260273973","491.758904109589","639.3123287671233","691.016393442623","709.786301369863","732.8986301369863","747.8134246575343","745.3879781420765","739.2849315068493","896.6363424657534","879.0602356164384","990.5943306010929","1247.7813616438357","1400.9027863013698","1687.9527698630136","1960.6945081967212","1886.8082191780823","1918.5205479452054","1765.6164383561643","1797.049180327869","1814.6575342465753","1756.6164383561643","1828.86301369863","1797.6147540983607","1709.2265306249114","1637.9984413612435","1489.827374060542","1284.9850298272693","1151.3426799468732","1186.1667912762232","1175.3560728835778","1164.9662693463677"
"INTL.57-1-AGO-TBPD.A","                Crude oil including lease condensate (Mb/d)","162","169","165","108","194","131","147","150","130","122","177.0054794520548","204","231.34246575342465","282.13698630136986","360.05205479452053","452.0081967213115","454.7671232876712","474.63013698630135","499.63013698630135","535.4508196721312","503.9397260273973","491.758904109589","639.3123287671233","691.016393442623","709.786301369863","729.1178082191781","747.8134246575343","745.3879781420765","739.2849315068493","896.6363424657534","879.0602356164384","987.5943306010929","1235.5210876712329","1380.9027863013698","1667.9527698630136","1950.6945081967212","1876.8082191780823","1908.5205479452054","1755.6164383561643","1787.049180327869","1802.6575342465753","1741.6164383561643","1801.86301369863","1769.6147540983607","1663.2265306249114","1584.9984413612435","1434.827374060542","1242.931974403198","1112.227357573531","1153.1406700686014","1144.402146816957","1135.7951564147422"
"INTL.58-1-AGO-TBPD.A","                NGPL (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","3.780821917808219","","","","","","3","12.26027397260274","20","20","10","10","10","10","10","12","15","27","28","46","53","55","42.05305542407132","39.11532237334206","33.02612120762171","30.9539260666208","29.17111293162528"
"INTL.59-1-AGO-TBPD.A","                Other liquids (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.56-1-AGO-TBPD.A","            Refinery processing gain (Mb/d)","","","","","","","","","","","","","","","","","","","","","-0.6","-0.6","-0.8","-0.6","-0.6","-0.5","-0.4","-0.291258975","-0.479440711","-0.226856486","-0.243223548515068","-0.306","-0.289","-0.366","-0.504","-0.468","-0.444","-0.448","-0.482","-0.469","-0.4889999999999999","-0.671","-0.8630000000000001","-0.837","-0.8720000000000001","-0.882","-0.895","-0.846","-0.9252763375206662","-0.9123918795645861","-0.9338701784375343","-0.9177228346420765"
"","Antarctica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-ATA-TBPD.A","        Total petroleum and other liquids (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-ATA-TBPD.A","            Crude oil, NGPL, and other liquids (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-ATA-TBPD.A","                Crude oil including lease condensate (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.58-1-ATA-TBPD.A","                NGPL (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.59-1-ATA-TBPD.A","                Other liquids (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.56-1-ATA-TBPD.A","            Refinery processing gain (Mb/d)","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Antigua and Barbuda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-ATG-TBPD.A","        Total petroleum and other liquids (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-ATG-TBPD.A","            Crude oil, NGPL, and other liquids (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-ATG-TBPD.A","                Crude oil including lease condensate (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.58-1-ATG-TBPD.A","                NGPL (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.59-1-ATG-TBPD.A","                Other liquids (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.56-1-ATG-TBPD.A","            Refinery processing gain (Mb/d)","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Argentina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-ARG-TBPD.A","        Total petroleum and other liquids (Mb/d)","","","","","","","","508","513","507","504","498","485","471","472","492","496","521","529","597","640.0082191780822","720.551","775.5500356164383","838.7026994535519","892.9643835616438","905.3899808219178","894.8070602739726","862.8231038251366","918.6981753424658","895.3786328767123","889.250202739726","891.0570819672131","830.3296109589041","831.1796301369862","802.6279150684932","804.5547267759563","786.1240890410959","786.8620643835617","742.298394520548","720.722118032787","704.9671287671233","713.0421054794521","705.2630424657534","705.0372633879781","686.3095116093149","704.8591448772406","723.0593229718976","656.8417081697287","708.554534570368","787.2274929198345","819.0188040242807","891.9261208433695"
"INTL.55-1-ARG-TBPD.A","            Crude oil, NGPL, and other liquids (Mb/d)","","","","","","","","504","508","503","499","493","480","465","464","484","487","510","515","583","640.0082191780822","720.551","775.5500356164383","838.7026994535519","892.9643835616438","905.3899808219178","894.8070602739726","862.8231038251366","918.6981753424658","895.3786328767123","889.250202739726","863.0500819672131","806.8936109589041","806.4966301369863","788.0839150684932","793.1062267759563","772.2725890410959","773.9335643835617","728.9765945205479","707.4819180327869","693.2825287671233","701.343405479452","693.9119424657534","694.0283633879782","674.8438116093148","693.2571448772405","711.2926229718976","645.7186081697287","696.3894932310989","775.2314809604429","806.7403981714889","879.6572396162193"
"INTL.57-1-ARG-TBPD.A","                Crude oil including lease condensate (Mb/d)","","","","","","","","","","","","478","459.56164383561645","433.95616438356166","428.4328767123288","448.9781420765027","460.413698630137","482.62191780821917","493.1972602739726","558.275956284153","593.0082191780822","668.551","720.5500356164383","783.7026994535519","835.9643835616438","848.3899808219178","832.8070602739726","800.8231038251366","825.6981753424658","800.3786328767123","740.250202739726","694.8500819672131","664.6936109589041","660.7966301369863","653.1839150684932","661.2152377049181","628.8054739726027","613.3419616438356","576.0272712328767","551.1197896174864","539.9405095890411","532.1596794520548","532.2395178082191","510.50543989071036","479.63058926889585","489.5134259473776","507.40017625412713","480.33938818721504","513.5619013428797","582.667458490306","635.3171681731327","700.7792575954543"
"INTL.58-1-ARG-TBPD.A","                NGPL (Mb/d)","","","","","","","","","","","","35","35","39","41","40","40","40","38","42","47","52","55","55","57","57","62","62","93","95","149","168","142","145","131","118","120","123","102","103","104","104","108.51506849315068","112.33879781420765","115","132","138.65023287671232","128.40694535519125","130","130","130","130"
"INTL.59-1-ARG-TBPD.A","                Other liquids (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","0.2","0.7","3.9","13.890989071038252","23.46711506849315","37.59160273972603","50.949323287671234","53.362128415300546","49.3420191780822","65.18372602739726","53.157356164383565","71.18412568306012","80.21322234041901","71.74371892986301","65.2422138410581","36.972274627322406","52.827591888219175","62.56402247013699","41.42322999835617","48.877982020765025"
"INTL.56-1-ARG-TBPD.A","            Refinery processing gain (Mb/d)","","","","","","","","","","","","","","","","","","","","","18","19","17","21","23","20","20","22.6032855","25.67287944","25.44239543","25.6520334744","28.007","23.436","24.683","14.544","11.4485","13.8515","12.9285","13.3218","13.2402","11.6846","11.6987","11.3511","11.0089","11.4657","11.602","11.7667","11.1231","12.165041339269186","11.9960119593915","12.278405852791781","12.268881227150274"
"","Armenia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-ARM-TBPD.A","        Total petroleum and other liquids (Mb/d)","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-ARM-TBPD.A","            Crude oil, NGPL, and other liquids (Mb/d)","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-ARM-TBPD.A","                Crude oil including lease condensate (Mb/d)","","","","","","","","--","--","--","--","--","","--","--","--","--","--","--","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.58-1-ARM-TBPD.A","                NGPL (Mb/d)","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.59-1-ARM-TBPD.A","                Other liquids (Mb/d)","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.56-1-ARM-TBPD.A","            Refinery processing gain (Mb/d)","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Aruba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
